"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"3","1986687589097873528","Fri Nov 07 06:50:06 +0000 2025",,"503","bentuk kepedulian pemerintah terhadap papua pemerintah hadir untuk membangun konektivitas di papua. ada 300 titik internet yang telah aktif di wilayah 3T #DedikasiPresidenMajukanPapua https://t.co/ERnW0br0DD","1986687589097873528","https://pbs.twimg.com/media/G5Ih09dbYAAUbS4.jpg","","in","503","","0","559","458","https://x.com/undefined/status/1986687589097873528","1217389825889751040",,"7455"
"39","1986419856414302593","Thu Nov 06 13:06:14 +0000 2025",,"234","Mulai 2026 masa tunggu haji di seluruh Indonesia disamakan menjadi 26 tahun. Pada tahun sebelumnya masa tunggu setiap provinsi bervariasi hingga paling lama sekitar 47 tahun. Aturan baru ini muncul setelah pemerintah mengubah cara pembagian kuota agar lebih adil dan https://t.co/xpV0veSxjK","1986419856414302593","https://pbs.twimg.com/media/G5EuJxdakAA-D6A.jpg","","in","234","","14","38","59","https://x.com/undefined/status/1986419856414302593","23343960",,"55117"
"32","1987712237725798745","Mon Nov 10 02:41:42 +0000 2025",,"798","dari fish it aku belajar. jika manusia akan seperti pemerintah indonesia jika sedang diatas. streamer or pejabat akan dikasih kemewahan sedangkan rakyat jelata diminta bayar pajak/robux dengan fasilitas ikan teri. sekian TALON KAMI PAMIT. terimakasih sudah menemani fish! https://t.co/mD57EJiTWS","1987712237725798745","https://pbs.twimg.com/media/G5XFvvkWAAAc0BM.jpg","","in","798","","35","38","131","https://x.com/undefined/status/1987712237725798745","1937782067666014208",,"27346"
"0","1984551552821108942","Sat Nov 01 09:22:16 +0000 2025",,"930","Menteri Dalam Negeri Tito Karnavian menegaskan pemerintah pusat akan menegur daerah yang punya pendapatan tinggi tapi realisasi belanjanya rendah. #IPDNJatinangor #kemendagri #yukgass https://t.co/kQgxrhJB9v","1984551552821108942","https://pbs.twimg.com/ext_tw_video_thumb/1984551431249281025/pu/img/38FCQKJ9Ii9BTIF6.jpg","","in","930","","0","84","347","https://x.com/undefined/status/1984551552821108942","354168059",,"2590"
"48","1987308255803244810","Sat Nov 08 23:56:25 +0000 2025",,"1038","Munculnya pengusulan Soeharto sebagai Pahlawan Nasional oleh pemerintah menimbulkan reaksi berantai dari berbagai pihak khususnya karena adanya dilema sejarah yang belum terselesaikan. Salah satu suara penting dalam perdebatan ini datang dari salah seorang Mustasyar Pengurus https://t.co/vqmZbBi4NQ","1987308255803244810","https://pbs.twimg.com/media/G5RWTbAbIAAKHka.jpg","","in","1038","","32","134","498","https://x.com/undefined/status/1987308255803244810","214818815",,"81824"
"0","1987021929665208775","Sat Nov 08 04:58:39 +0000 2025",,"321","Pemerintah tengah mempertimbangkan pemberian subsidi listrik pd Desember 2025 untuk menjaga stabilitas harga menjelang libur Natal dan Tahun Baru. Mendagri Tito Karnavian mnympaikan hal ini dalam keterangannya di Jakarta Selasa 4 November 2025. #nataru2025 #kemendagri #yukgass https://t.co/1rUhgMmMTb","1987021929665208775","https://pbs.twimg.com/ext_tw_video_thumb/1987021868759650304/pu/img/7vrJ_6K3qNy_kOsJ.jpg","","in","321","","0","25","112","https://x.com/undefined/status/1987021929665208775","354168059",,"3696"
"459","1986409762712424894","Thu Nov 06 12:26:07 +0000 2025",,"1513"," tbh magang yg digaji pemerintah ini oke bgt buat fg yg masih minim pengalaman kek sender bismillah doain sender keterima yaak katanya doa 40 orang bisa dikabulin udah cape bgt ditolak sana sini https://t.co/TuZWrstk47","1986409762712424894","https://pbs.twimg.com/media/G5ElJt6WcAAbl_t.jpg","","in","1513","","20","72","114","https://x.com/undefined/status/1986409762712424894","1331650559518990336",,"106034"
"0","1984829657649463802","Sun Nov 02 03:47:21 +0000 2025",,"22","Sekolah Rakyat jadi langkah nyata pemerintah untuk mengentaskan kemiskinan secara terukur terstruktur dan berkelanjutan. Sepanjang 2025 sudah ada 166 Sekolah Rakyat yang beroperasi di berbagai daerah. https://t.co/biIXjlWJbY","1984829657649463802","https://pbs.twimg.com/amplify_video_thumb/1984829528653643783/img/BUYJnK5uO_2lKRqL.jpg","","in","22","","0","12","3","https://x.com/undefined/status/1984829657649463802","2889531644",,"689"
"21","1986991621171241124","Sat Nov 08 02:58:13 +0000 2025",,"849","Masyarakat Adat Suku Mairasi mendesak pemerintah dan DPR: Segera Sahkan RUU Masyarakat Adat. Undang-undang ini bukan sekadar payung hukum tapi jembatan keadilan antara Masyarakat Adat negara dan korporasi yang selama in lebih sering dipertemukan dalam konflik. Wilayah Adat https://t.co/DYX2kz7a4l","1986991621171241124","https://pbs.twimg.com/ext_tw_video_thumb/1986991558743498752/pu/img/GhT3ElHOe38uSTye.jpg","","in","849","","4","3","493","https://x.com/undefined/status/1986991621171241124","1395171646151880706",,"15879"
"1","1986233833377947653","Thu Nov 06 00:47:02 +0000 2025",,"647","Pemerintah tengah mempersiapkan langkah antisipasi agar inflasi tidak melonjak menjelang Natal dan Tahun Baru (Nataru) 2025 #Nataru2025 #kemendagri #yukgass https://t.co/l8X3beSfll","1986233833377947653","https://pbs.twimg.com/media/G5CFJQWbIAMZHOP.jpg","","in","647","","0","17","402","https://x.com/undefined/status/1986233833377947653","354168059",,"4427"
"0","1986702004476125309","Fri Nov 07 07:47:23 +0000 2025",,"18","RIP Farhan - Reno Al Fatihah. Pemerintah wajib bertanggung jawab !! https://t.co/Exg6wiqxt4","1986702004476125309","https://pbs.twimg.com/media/G5Iu8fMbkAACqmD.jpg","","in","18","","1","3","10","https://x.com/undefined/status/1986702004476125309","1081205704898179073",,"1373"
"3","1985614634783756575","Tue Nov 04 07:46:34 +0000 2025",,"66","Seorang gadis 9 tahun diberi cincin pernikahan oleh pria 39 tahun didandani layaknya wanita dewasa. Sayangnya di negara mayoritas Muslim hak anak untuk tumbuh tanpa dipaksa menikah belum mendapat perhatian serius dari pemerintah maupun masyarakat. https://t.co/YE31kpIVIa","1985614634783756575","https://pbs.twimg.com/ext_tw_video_thumb/1985614574025142272/pu/img/7RnEjRuxpLnRqWZ3.jpg","","in","66","","1","11","19","https://x.com/undefined/status/1985614634783756575","795498951336075264",,"4861"
"14","1985644591182156124","Tue Nov 04 09:45:36 +0000 2025",,"1071","Hari ini saya secara khusus meresmikan wajah baru Stasiun Tanah Abang langkah penting dalam upaya kami mempercepat modernisasi sistem transportasi publik yang menunjang aktivitas masyarakat sehari-hari. Pemerintah berkomitmen untuk membangun sistem transportasi kereta yang https://t.co/HLN1viRwtF","1985644591182156124","https://pbs.twimg.com/media/G45tOoRbgAAKX0u.jpg","","in","1071","","30","503","262","https://x.com/undefined/status/1985644591182156124","40580714",,"62292"
