"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"0","1985993667489018196","Wed Nov 05 08:52:42 +0000 2025",,"11","Hebat nih bro tiga pilar pembangunan: komitmen pemerintah Indonesia jangkauan yg merata &amp; jiwa kerjasama. Ini merupakan fondasi tangguh menuju Indonesia yang dicita-citakan kuat secara ekonomi &amp; sosial. Prioritaskan Kebutuhan Rakyat https://t.co/r2H7s1roVO","1985993667489018196","https://pbs.twimg.com/media/G4-qfBZbUAABs-9.jpg","","in","11","","0","5","1","https://x.com/undefined/status/1985993667489018196","1541991805947760641",,"4560"
"264","1987042571143815195","Sat Nov 08 06:20:41 +0000 2025",,"401","RILIS SURVEI NASIONAL INDIKATOR POLITIK INDONESIA EVALUASI PUBLIK ATAS KINERJA SATU TAHUN PEMERINTAHAN PRABOWO-GIBRAN Periode Survei Tatap Muka: 20-27 Oktober 2025 Live on Youtube : https://t.co/svM6i9ENch @BurhanMuhtadi https://t.co/P4XveBDEPg","1987042571143815195","https://pbs.twimg.com/media/G5NiV8xakAAo_iW.jpg","","in","401","","59","36","188","https://x.com/undefined/status/1987042571143815195","1379088229",,"53860"
"0","1986326524220612854","Thu Nov 06 06:55:22 +0000 2025",,"14","Politik Indonesia menurut saya tidak sama dengan politik ala Amerika atau ala Eropa. Karakter politik Indonesia itu perpaduan antara kekeluargaan dan kebebasan. Di satu sisi kita menjunjung tinggi musyawarah gotong royong dan rasa hormat terhadap pemimpin semacam ada https://t.co/jHlAhuIvoa","1986326524220612854","https://pbs.twimg.com/media/G5DZcpRbIAQ3fah.jpg","","in","14","","2","5","1","https://x.com/undefined/status/1986326524220612854","1003546165105704962",,"909"
"0","1987521852479353139","Sun Nov 09 14:05:10 +0000 2025",,"8","Open Jasa Joki Tugas Rangkum Resume PPT HI Naskah Drama Yel Yel Hubungan Masyarakat Rapikan File Ilmu Politik Hukum Paper Opini Publik Etika Bisnis Filsafat Ilmu Ilmu Komunikasi Essai Essay Makalah Review Jurnal Psikologi Mapping Poster Infografis Ospek https://t.co/UwKV9iEg3e","1987521852479353139","https://pbs.twimg.com/media/G5UYl3UbcAAC0PM.jpg","","in","8","","0","0","2","https://x.com/undefined/status/1987521852479353139","1472003629624086528",,"212"
"21","1987705288586379458","Mon Nov 10 02:14:05 +0000 2025",,"917","Negara ini terlalu sibuk untuk memberi tanda jasa kepada koruptor dan komprador. Sibuk memodifikasi statistik dan kepuasan publik. Rajin menjilat agar jabatan tetap mengkilat dan menggarong hak rakyat untuk amunisi politik. Jahanam kalian semua!! https://t.co/ODiNt0UR5a https://t.co/DZ9G85ehN4","1987705288586379458","https://pbs.twimg.com/media/G5W_bEObMAAIdRw.jpg","","in","917","","22","104","331","https://x.com/undefined/status/1987705288586379458","1619899748387000322",,"13379"
"2","1987716575349407874","Mon Nov 10 02:58:56 +0000 2025",,"7","Sobat Buku Kompas menyusul meletusnya peristiwa G30S para anggota Gerwani serta sejumlah perempuan yang dikaitkan dengan organisasi itu ditangkapi aparat rezim Orde Baru. Mereka diisolasi di kamp tahanan politik khusus wanita di Plantungan. #Gerwani #BukuKompas https://t.co/0pg7SQQo84","1987716575349407874","https://pbs.twimg.com/media/G5XIyJPbcAAA1sG.jpg","","in","7","","0","1","6","https://x.com/undefined/status/1987716575349407874","122837580",,"983"
"9","1986084827624595891","Wed Nov 05 14:54:57 +0000 2025",,"396","Semoga Pak @prabowo tidak terjebak dalam permainan politik jahat. https://t.co/YoFHILWZmo","1986084827624595891","https://pbs.twimg.com/amplify_video_thumb/1986054002623307777/img/EqvHOpnkF7SVmvlZ.jpg","","in","396","","7","15","216","https://x.com/undefined/status/1986084827624595891","1450037307826860039",,"11804"
"188","1986610949047074828","Fri Nov 07 01:45:34 +0000 2025",,"958","LANGKAH SOEHARTO Serial dokumenter by @watchdoc_ID Dari militerisme politik hingga bisnis. https://t.co/BC5Dlu9DuO https://t.co/MM4rMWx8ZF","1986610949047074828","https://pbs.twimg.com/media/G5HcEufakAAPylW.jpg","","in","958","","10","14","475","https://x.com/undefined/status/1986610949047074828","159919812",,"24433"
"1","1986781174472270116","Fri Nov 07 13:01:59 +0000 2025",,"12","Open Jasa Joki Tugas Rangkum PPT HI Hubungan Masyarakat Rapikan File Ilmu Politik Hukum Paper Psikologi Mapping Opini Publik Etika Bisnis Ilmu Komunikasi Essai Essay Filsafat Ilmu Makalah Review Jurnal Poster Infografis Ospek Sastra #zonauang #jokitugas https://t.co/35jO9LQ17g","1986781174472270116","https://pbs.twimg.com/media/G5J28oyacAAPFbc.jpg","","in","12","","0","0","4","https://x.com/undefined/status/1986781174472270116","1392466321300885508",,"418"
"1","1987797974249021467","Mon Nov 10 08:22:23 +0000 2025",,"17","Kepercayaan publik tak datang tiba-tiba. Survei Indikator Politik menempatkan Kejaksaan Agung di posisi puncak lembaga paling dipercaya. Kepemimpinan Jaksa Agung ST Burhanuddin terbukti bukan hanya menegakkan hukum tapi juga mengembalikan uang negara https://t.co/S7CPNgWRkX","1987797974249021467","https://pbs.twimg.com/ext_tw_video_thumb/1987797939134275584/pu/img/K-QCSoRYKmMrooN8.jpg","","in","17","","3","4","20","https://x.com/undefined/status/1987797974249021467","43486890",,"2324"
"0","1988142564923650305","Tue Nov 11 07:11:40 +0000 2025",,"1","Mahkamah Konstitusi RI bersama PT. RajaGrafindo Persada dan EduLaw Project dengan bangga mempersembahkan Diskusi Literasi Konstitusi Seri Ke-10 dengan topik buku: Hukum Pidana Baru Indonesia: Penjelasan Lengkap Mengenai Aturan Umum KUHP Baru Politik Hukum Pidana : Teori https://t.co/UrtlSYQOfp","1988142564923650305","https://pbs.twimg.com/media/G5dNHlabcAEQFvJ.jpg","","in","1","","0","1","0","https://x.com/undefined/status/1988142564923650305","517105241",,"55"
"0","1988104743135363238","Tue Nov 11 04:41:22 +0000 2025",,"4","Kenaikan gaji minimum daripada RM1 200 kepada RM1 700 bukti keberanian politik Kerajaan MADANI. PMX tegaskan dalam sesi PMQT perlaksanaan ini tidak mudah kerana kerajaan perlu berhadapan dengan kartel dan syarikat syarikat besar. #AMKReformasi #MalaysiaMADANI https://t.co/IakK2C0xX4","1988104743135363238","https://pbs.twimg.com/amplify_video_thumb/1988104646846803969/img/K0N7jaGeDlXEbLJd.jpg","","in","4","","0","0","3","https://x.com/undefined/status/1988104743135363238","81754460",,"79"
"0","1988099136848372049","Tue Nov 11 04:19:05 +0000 2025",,"2","Penolakan gelar pahlawan untuk Soeharto disayangkan. Ini bisa menghambat rekonsiliasi bangsa dengan masa lalu. Luka sejarah bisa picu dendam politik. Rekonsiliasi seharusnya utamakan persatuan bukan kepentingan sesaat. Hargai jasa tokoh lama tapi tetap kritis. Gelar https://t.co/GVKeKY5wQF","1988099136848372049","https://pbs.twimg.com/ext_tw_video_thumb/1988099051662045186/pu/img/SRMbEiDiSUqHMRIH.jpg","","in","2","","0","3","2","https://x.com/undefined/status/1988099136848372049","1331503267814072320",,"61"
"147","1987002740112052593","Sat Nov 08 03:42:24 +0000 2025",,"1466","Fanatisme pada musisi tokoh politik dsb. Karena merasa kosong takut sama hidup. Jadi mengidentifikasi melekatkan dirinya pada figur idola yg dianggap hebat bisa mengisi kosong diri jadi bermakna. Tapi itu justru memperbesar ketakutan. Dan takut mendorong untuk agresif.","1987002740112052593","","","in","1466","","63","7","867","https://x.com/undefined/status/1987002740112052593","38394524",,"57367"
"0","1987350077514596448","Sun Nov 09 02:42:36 +0000 2025",,"34","Tidak korupsi itu baik dan benar. Berintegritas. Bersih. Pun membuat hidupnya tenang. Yang bersih dibenci oleh Jokowi karena tak bisa dijebak dan dijadikan sandera politik. #RevolusiTakBisaDitunda Anies Raih Penghargaan Kepala Daerah Bebas Korupsi #RevolusiTakBisaDitunda https://t.co/NbJMklyMwY","1987350077514596448","https://pbs.twimg.com/media/G5R8XDgbIAAiEVk.jpg","","in","34","","1","0","18","https://x.com/undefined/status/1987350077514596448","1629530059265703938",,"870"
"0","1987358380751790537","Sun Nov 09 03:15:35 +0000 2025",,"14","Dosa Soeharto di Era Orde Baru terhadap NU https://t.co/ji232fESii","1987358380751790537","","","in","14","","1","0","9","https://x.com/undefined/status/1987358380751790537","829312610747179010",,"899"
"1","1987868515466977469","Mon Nov 10 13:02:41 +0000 2025",,"16","Presiden kedua RI Soeharto dianugerahi gelar Pahlawan Nasional oleh Presiden Prabowo pada 10 November 2025 atas jasanya dalam perjuangan kemerdekaan dan peran politik-militer. Meski kontroversi HAM dan korupsi pemerintah menilai jasanya layak dihargai. Keluarga Soeharto https://t.co/n83gBYJTrx","1987868515466977469","https://pbs.twimg.com/media/G5ZT4JmWAAI-pfm.jpg","","in","16","","1","4","3","https://x.com/undefined/status/1987868515466977469","47596019",,"1799"
"14","1986277005885907372","Thu Nov 06 03:38:36 +0000 2025",,"427","Lama-lama Reformasi 98 bakal dianggap aksi politik yang salah. Sebab Orde Baru yang benar.","1986277005885907372","","","in","427","","5","15","139","https://x.com/undefined/status/1986277005885907372","153608362",,"10218"
"0","1988079266727424379","Tue Nov 11 03:00:08 +0000 2025",,"9","Penganugerahan ini mengirimkan pesan kuat kepada bangsa bahwa Indonesia menghargai segala bentuk pengorbanan baik dalam pertempuran politik pergerakan buruh perumusan hukum maupun pembentukan karakter kebangsaan. https://t.co/2AncZWOj9a","1988079266727424379","https://pbs.twimg.com/ext_tw_video_thumb/1988079219184988164/pu/img/33YYBCMcikQzWB3_.jpg","","in","9","","0","0","0","https://x.com/undefined/status/1988079266727424379","1604083921905364994",,"118"
"0","1986361436562710706","Thu Nov 06 09:14:05 +0000 2025",,"15","POLITIK DUA WAJAH PEMBANGKANG: TOLAK BAJET 2026 DI PARLIMEN TUNTUT PERUNTUKAN DI NEGERI Tindakan pembangkang menolak Belanjawan 2026 walaupun bajet itu memberi banyak manfaat kepada negeri mereka sendiri menunjukkan bahawa keputusan mereka lebih didorong oleh https://t.co/efEgjjJt69","1986361436562710706","https://pbs.twimg.com/media/G5D4z7naUAEMyjd.jpg","","in","15","","0","4","14","https://x.com/undefined/status/1986361436562710706","1801064970337345536",,"50"
"1","1986951130480587232","Sat Nov 08 00:17:19 +0000 2025",,"13","Primbon politik adalah menyingkap bukan menutupi. Mendialektikan urusan warga bukan mengurusnya di bawah meja persekongkolan. - Muhidin M. Dahlan kolom Halte koran Jawa Pos https://t.co/Jg6U1QzL8W","1986951130480587232","https://pbs.twimg.com/media/G5MRg0jbIAIoEL1.jpg","","in","13","","0","0","3","https://x.com/undefined/status/1986951130480587232","973221531399569409",,"467"
"0","1986327731970379811","Thu Nov 06 07:00:10 +0000 2025",,"14","Bajet 2026 bukan sekadar ujian ekonomi tapi ujian kebersamaan dalam madrasah baru politik Malaysia. Di sinilah nilai Madani diuji sejauh mana kita mampu bersatu dalam kepelbagaian demi masa depan negara yang stabil. Tonton sekarang di YouTube &amp; Facebook Borak Daily. https://t.co/pcMvsVtQZD","1986327731970379811","https://pbs.twimg.com/amplify_video_thumb/1986327640551342080/img/A8Cqd2L2XAC_HS1X.jpg","","in","14","","0","1","12","https://x.com/undefined/status/1986327731970379811","1801064970337345536",,"68"
"1","1987482262125064243","Sun Nov 09 11:27:51 +0000 2025",,"18","*Muhammad Qasim adalah individu yang bersahaja terdidik dalam persekitaran yang sederhana tanpa cita-cita kemasyhuran atau kuasa politik. Namun dia dikenali di peringkat antarabangsa untuk sesuatu yang jauh lebih berkuasa. Muhammad Qasim","1987482262125064243","","","in","18","","0","0","19","https://x.com/undefined/status/1987482262125064243","1289079277384691712",,"64"
"6","1987309442036277558","Sun Nov 09 00:01:08 +0000 2025",,"123","Negara menghabiskan dana 1.515 T utk PSN (Proyek Srategis Nasional) dan 510 T atau sekitar 36% dikorupsi alias bocor bocor. Sementara rakyat dipaksa agar yakin bhw akan disejahterakan saat kampanye pilpres!? Ini Negara Kleptokrasi Yuuk melek politik. https://t.co/tbNljdBrz4","1987309442036277558","https://pbs.twimg.com/ext_tw_video_thumb/1987309395110449152/pu/img/DmmAvinHfwh13gx4.jpg","","in","123","","5","6","85","https://x.com/undefined/status/1987309442036277558","852327811",,"1735"
"0","1987012838100213948","Sat Nov 08 04:22:32 +0000 2025",,"11","Jasa Joki Tugas Open Opini Publik Etika Bisnis Ilmu Komunikasi Essai Essay Filsafat Ilmu Makalah Review Jurnal Rangkum Resume PPT HI Hubungan Masyarakat Rapikan File Ilmu Politik Hukum Paper Psikologi Mapping Poster Infografis Ospek #jokitugas #zonauang https://t.co/q2PJ2a4Xx1","1987012838100213948","https://pbs.twimg.com/media/G5NJpKta8AAuwoa.jpg","","in","11","","0","0","3","https://x.com/undefined/status/1987012838100213948","1472003629624086528",,"448"
"0","1987822544183795837","Tue Nov 11 03:32:54 +0000 2025",,"28","Ada kesalahan di caption sebelumnya. Seharusnya keluarga pahlawan nasional mendapat tunjangan Rp50 juta per tahun bukan Rp57 juta. https://t.co/oApnVK0433","1988087511093215254","","tempodotco","in","28","","11","0","7","https://x.com/undefined/status/1988087511093215254","18129942",,"5488"
"0","1987182060575056192","Sat Nov 08 15:34:57 +0000 2025",,"14","Politik memang sarat dengan 'kepentingan' Namun demikian hendaknya kepentingan itu adalah untuk berinteraksi bereksistensi dan berorientasi kepada rakyat khususnya yg berada di kalangan bawah BambangPatjul https://t.co/8LJK5Esd9P","1987182060575056192","https://pbs.twimg.com/ext_tw_video_thumb/1987181736959336448/pu/img/XxGj6HjsqKDzHBEa.jpg","","in","14","","0","0","12","https://x.com/undefined/status/1987182060575056192","2335281158",,"320"
"143","1985990551687340053","Thu Nov 06 00:29:15 +0000 2025",,"274","@ekakunjeri Masih ada PAKUALAMAN walaupun MUNGIL tak takonke GEMINI Ah ini adalah cerita klasik politik adu domba (divide et impera) yang dijalankan dengan sukses oleh Belanda (VOC). Singkatnya Kerajaan Mataram pecah bukan karena satu peristiwa tapi melalui serangkaian konflik internal https://t.co/IprJhVddIF","1986229357355077820","https://pbs.twimg.com/media/G5CA4f8bIAUAL5o.png","ekakunjeri","in","274","","3","7","59","https://x.com/undefined/status/1986229357355077820","659103",,"14868"
"0","1986362782267417001","Thu Nov 06 09:19:26 +0000 2025",,"13","Bajet 2026 bukan sekadar ujian ekonomi tapi ujian kebersamaan dalam madrasah baru politik Malaysia. Di sinilah nilai Madani diuji sejauh mana kita mampu bersatu dalam kepelbagaian demi masa depan negara yang stabil. Tonton sekarang di YouTube &amp; Facebook Borak Daily. https://t.co/x9Wdf5zL9F","1986362782267417001","https://pbs.twimg.com/amplify_video_thumb/1986362672804499456/img/vDYumQDRc0KI10YB.jpg","","in","13","","0","3","9","https://x.com/undefined/status/1986362782267417001","1833340149369081857",,"57"
"7","1987485300352786483","Sun Nov 09 11:39:55 +0000 2025",,"117","Apa yang termul pikirkan ‼️ Cr Ig politik_asyik223 https://t.co/8KjWOgrOFt","1987485300352786483","https://pbs.twimg.com/ext_tw_video_thumb/1987485266731220992/pu/img/xIUTNljzrf7EGs8Y.jpg","","in","117","","4","3","73","https://x.com/undefined/status/1987485300352786483","1625141069460516866",,"1172"
"6","1987407548098724272","Sun Nov 09 06:30:58 +0000 2025",,"236","Gen Z: Zaman Soeharto Ngomong Politik Bisa Hilang . Sekarang Kita Nggak Takut Lagi! Jangan sampai era Soeharto kembali lagi. #SoehartoBukanPahlawan https://t.co/NLJXOrnNX1","1987407548098724272","https://pbs.twimg.com/ext_tw_video_thumb/1987407459577962498/pu/img/7mHmFDA_2E81xp4u.jpg","","in","236","","3","25","90","https://x.com/undefined/status/1987407548098724272","45602536",,"4633"
"0","1987083476915634563","Sat Nov 08 09:03:13 +0000 2025",,"14","Hasil survei Indikator Politik Indonesia menunjukkan kinerja Seskab Teddy melesat ke posisi kedua nasional! Figur yg dikenal tenang dan solutif ini sukses membangun kepercayaan publik lewat kerja nyata di balik layar pemerintahan https://t.co/ZrGO11NMhu","1987083476915634563","https://pbs.twimg.com/media/G5OJ42gbIAIqXFf.jpg","","in","14","","5","4","20","https://x.com/undefined/status/1987083476915634563","43486890",,"3780"
"5","1987555952951005236","Sun Nov 09 16:20:40 +0000 2025",,"210","RIP keadilan untuk korban-korban kejahatan hak asasi manusia dan tahanan politik semasa Orde Baru","1987555952951005236","","","in","210","","1","0","109","https://x.com/undefined/status/1987555952951005236","2551281308",,"3875"
"0","1988136259622236548","Tue Nov 11 06:46:36 +0000 2025",,"4","Ada beberapa alasan mengapa kasus pelanggaran HAM di Indonesia sulit diselesaikan. Kontaminasi pelaku di konstelasi politik salah satunya. https://t.co/f1jKAA42YA","1988136259622236548","","","in","4","","0","0","3","https://x.com/undefined/status/1988136259622236548","1521159020",,"198"
"0","1988083008784769131","Tue Nov 11 03:15:00 +0000 2025",,"58","Ketika quota haji nyata² dirampok korbannya puluhan ribu umat kalian diam membisu mendingan bubar aja kalian kalau sudah bermain politik. @MUIPusat https://t.co/8ncknZD2Zs","1988083008784769131","https://pbs.twimg.com/media/G5cW9Y3a0AER_zK.jpg","","in","58","","2","12","31","https://x.com/undefined/status/1988083008784769131","506059176",,"927"
"37","1987727735427633640","Mon Nov 10 03:43:16 +0000 2025",,"690","UDAH DIBILANGIN. Emang negara ini ga siap buat hadapin terorisme politik sayap kanan ekstrim. https://t.co/o5Jc4rpPVK","1987727735427633640","https://pbs.twimg.com/media/G5XT1mXa8AAKK4L.jpg","","in","690","","4","11","225","https://x.com/undefined/status/1987727735427633640","1249662133916192768",,"10818"
"2","1986242747993628804","Thu Nov 06 01:22:28 +0000 2025",,"43","Presiden Prabowo Bahas Stabilitas Politik dan Penguatan Investasi Bersama Sejumlah Tokoh di Istana Merdeka Presiden Prabowo Subianto melakukan pertemuan dengan sejumlah pejabat negara di Istana Merdeka Jakarta Rabu (05/11/2025). Dalam pertemuan tersebut Presiden Prabowo dan https://t.co/dYdVoljSZj","1986242747993628804","https://pbs.twimg.com/media/G5CMND3a0AATHpP.jpg","","in","43","","0","5","14","https://x.com/undefined/status/1986242747993628804","3522129133",,"3044"
"0","1984983045984641155","Sun Nov 02 13:56:52 +0000 2025",,"5","Tidak seperti pemimpin politik atau ulama selebriti Muhammad Qasim mendekati misinya dengan rendah hati dan keikhlasan yang mendalam. Muhammad Qasim","1984983045984641155","","","in","5","","1","0","8","https://x.com/undefined/status/1984983045984641155","1608100256868372480",,"19"
"3","1986023767680958883","Wed Nov 05 10:52:19 +0000 2025",,"39","Kriminalisasi ekspresi politik tak boleh terus dibiarkan! Penetapan dua aktivis Aliansi Masyarakat Pati Bersatu (AMPB) sebagai tersangka setelah aksi menolak keputusan DPRD Pati adalah langkah yang keliru. Ini bukan soal gangguan ketertiban belaka tapi soal pembungkaman hak https://t.co/QSPIfbKCWI","1986023767680958883","https://pbs.twimg.com/media/G4_EsZQaoAAymUJ.jpg","","in","39","","0","1","29","https://x.com/undefined/status/1986023767680958883","93775761",,"1519"
"0","1986252553156469230","Thu Nov 06 02:01:26 +0000 2025",,"13","Rabu (5/11) berlangsung sidang pertama Laras Faizati perempuan tahanan politik korban kriminalisasi di Pengadilan Negeri Jakarta Selatan. Sidang mulai sekitar pukul 14.00 di ruang sidang Mudjono SH dengan hakim ketua Ketut Darpawan. Agenda sidang adalah pembacaan dakwaan. https://t.co/aM1ph3dX3p","1986252553156469230","https://pbs.twimg.com/amplify_video_thumb/1986251825339863040/img/REXyW5um5l_QHwmA.jpg","","in","13","","0","2","10","https://x.com/undefined/status/1986252553156469230","1269826533096448001",,"445"
